method,seed,n_expected,n_success,crash_rate,sr2,sr5,median_rmsd,oracle_median_rmsd,mean_rmsd,fallback_rate,total_time_sec
fksmc_socm_final,42,9,9,0.0,0.1111111111111111,1.0,3.280674457550049,3.1045291423797607,3.184074322382609,0.0,95.1
fksmc_socm_final,43,9,9,0.0,0.1111111111111111,0.8888888888888888,3.17639684677124,3.079806089401245,3.259467946158515,0.011111111111111112,60.800000000000004
fksmc_socm_final,44,9,9,0.0,0.1111111111111111,0.8888888888888888,3.0388033390045166,2.98078989982605,3.2588447862201266,0.0,59.89999999999999
socm_final,42,9,9,0.0,0.1111111111111111,1.0,3.265956401824951,2.7515993118286133,3.221958782937792,0.0,60.3
socm_final,43,9,9,0.0,0.1111111111111111,0.8888888888888888,2.517160177230835,2.517160177230835,2.9223037825690374,0.0,59.6
socm_final,44,9,9,0.0,0.2222222222222222,0.8888888888888888,2.7227697372436523,2.7227697372436523,3.2101820442411633,0.011111111111111112,59.7
