method,n_seeds,sr2_var,sr2_ci95,median_rmsd_var,median_rmsd_ci95,crash_rate_var,crash_rate_ci95
fksmc_socm_final,3,0.0,0.0,0.014717905245959168,0.3013933876814365,0.0,0.0
socm_final,3,0.004115226337448559,0.15937037037037036,0.14967047161900382,0.9611225841756426,0.0,0.0
